50    6000       50       0        2000
0	71	63	0	0	1236	50
1	55	104	0	0	1236	50
2	16	32	0	0	1236	50
3	60	47	0	0	1236	50
4	164	128	0	0	1236	50
5	171	133	0	0	1236	50
6	53	76	0	0	1236	50
7	165	197	0	0	1236	50
8	63	173	0	0	1236	50
9	65	49	0	0	1236	50
10	119	54	0	0	1236	50
11	181	101	0	0	1236	50
12	200	180	0	0	1236	50
13	5	42	0	0	1236	50
14	198	185	0	0	1236	50
15	82	94	0	0	1236	50
16	54	1	0	0	1236	50
17	127	74	0	0	1236	50
18	9	6	0	0	1236	50
19	133	101	0	0	1236	50
20	98	70	0	0	1236	50
21	30	32	0	0	1236	50
22	175	79	0	0	1236	50
23	42	78	0	0	1236	50
24	156	23	0	0	1236	50
25	76	98	0	0	1236	50
26	52	196	0	0	1236	50
27	34	103	0	0	1236	50
28	80	153	0	0	1236	50
29	130	72	0	0	1236	50
30	0	78	0	0	1236	50
31	0	39	0	0	1236	50
32	193	117	0	0	1236	50
33	81	130	0	0	1236	50
34	145	41	0	0	1236	50
35	14	181	0	0	1236	50
36	158	170	0	0	1236	50
37	151	166	0	0	1236	50
38	74	1	0	0	1236	50
39	169	106	0	0	1236	50
40	197	152	0	0	1236	50
41	69	176	0	0	1236	50
42	190	103	0	0	1236	50
43	164	148	0	0	1236	50
44	24	187	0	0	1236	50
45	156	22	0	0	1236	50
46	198	175	0	0	1236	50
47	116	36	0	0	1236	50
48	134	91	0	0	1236	50
49	72	88	0	0	1236	50
50	75	164	40	526	1025	90
51	159	67	20	230	987	    90
52	198	40	40	56	1097	90
53	115	30	40	321	1024	90
54	161	146	30	616	752	    90
55	39	152	30	628	1095	90
56	173	44	30	328	747	    90
57	52	4	20	466	981	    90
58	74	182	40	584	752	    90
59	186	93	40	118	915	    90
60	38	157	30	415	1075	90
61	91	29	30	15	735	    90
62	157	98	20	58	1228	90
63	140	76	30	448	841	    90
64	104	57	30	359	1044	90
65	131	170	30	323	844	    90
66	30	107	30	259	853	    90
67	132	36	10	464	849	    90
68	170	195	20	434	1029	90
69	102	188	30	53	1111	90
70	95	135	30	211	1036	90
71	129	81	40	3	1092	90
72	103	31	50	471	1212	90
73	200	200	50	236	951	    90
74	177	198	40	354	838	    90
75	194	8	50	645	1216	90
76	10	28	40	266	956	    90
77	135	118	10	380	963	    90
78	117	86	10	150	1136	90
79	50	77	20	348	863	    90
80	65	182	30	145	907	    90
81	4	22	40	19	1084	90
82	126	57	30	285	799	    90
83	72	14	20	235	1149	90
84	37	65	40	401	972	    90
85	33	182	30	662	1132	90
86	165	117	30	370	905	    90
87	183	163	40	340	1222	90
88	69	13	30	461	963	    90
89	88	131	40	63	1095	90
90	79	73	50	491	795	    90
91	41	151	20	506	879	    90
92	147	96	30	449	1070	90
93	13	114	50	388	836	    90
94	100	70	50	174	985	    90
95	196	133	10	662	751	    90
96	140	186	20	76	1112	90
97	181	102	40	676	1090	90
98	112	117	30	51	989	    90
99	68	76	20	142	993	    90
100	38	41	20	322	777	    90
0	71	63	0	0	1236	50
1	55	104	0	0	1236	50
2	16	32	0	0	1236	50
3	60	47	0	0	1236	50
4	164	128	0	0	1236	50
5	171	133	0	0	1236	50
6	53	76	0	0	1236	50
7	165	197	0	0	1236	50
8	63	173	0	0	1236	50
9	65	49	0	0	1236	50
10	119	54	0	0	1236	50
11	181	101	0	0	1236	50
12	200	180	0	0	1236	50
13	5	42	0	0	1236	50
14	198	185	0	0	1236	50
15	82	94	0	0	1236	50
16	54	1	0	0	1236	50
17	127	74	0	0	1236	50
18	9	6	0	0	1236	50
19	133	101	0	0	1236	50
20	98	70	0	0	1236	50
21	30	32	0	0	1236	50
22	175	79	0	0	1236	50
23	42	78	0	0	1236	50
24	156	23	0	0	1236	50
25	76	98	0	0	1236	50
26	52	196	0	0	1236	50
27	34	103	0	0	1236	50
28	80	153	0	0	1236	50
29	130	72	0	0	1236	50
30	0	78	0	0	1236	50
31	0	39	0	0	1236	50
32	193	117	0	0	1236	50
33	81	130	0	0	1236	50
34	145	41	0	0	1236	50
35	14	181	0	0	1236	50
36	158	170	0	0	1236	50
37	151	166	0	0	1236	50
38	74	1	0	0	1236	50
39	169	106	0	0	1236	50
40	197	152	0	0	1236	50
41	69	176	0	0	1236	50
42	190	103	0	0	1236	50
43	164	148	0	0	1236	50
44	24	187	0	0	1236	50
45	156	22	0	0	1236	50
46	198	175	0	0	1236	50
47	116	36	0	0	1236	50
48	134	91	0	0	1236	50
49	72	88	0	0	1236	50
50	75	164	40	526	1025	90
51	159	67	20	230	987	90
52	198	40	40	56	1097	90
53	115	30	40	321	1024	90
54	161	146	30	616	752	90
55	39	152	30	628	1095	90
56	173	44	30	328	747	90
57	52	4	20	466	981	90
58	74	182	40	584	752	90
59	186	93	40	118	915	90
60	38	157	30	415	1075	90
61	91	29	30	15	735	90
62	157	98	20	58	1228	90
63	140	76	30	448	841	90
64	104	57	30	359	1044	90
65	131	170	30	323	844	90
66	30	107	30	259	853	90
67	132	36	10	464	849	90
68	170	195	20	434	1029	90
69	102	188	30	53	1111	90
70	95	135	30	211	1036	90
71	129	81	40	3	1092	90
72	103	31	50	471	1212	90
73	200	200	50	236	951	90
74	177	198	40	354	838	90
75	194	8	50	645	1216	90
76	10	28	40	266	956	90
77	135	118	10	380	963	90
78	117	86	10	150	1136	90
79	50	77	20	348	863	90
80	65	182	30	145	907	90
81	4	22	40	19	1084	90
82	126	57	30	285	799	90
83	72	14	20	235	1149	90
84	37	65	40	401	972	90
85	33	182	30	662	1132	90
86	165	117	30	370	905	90
87	183	163	40	340	1222	90
88	69	13	30	461	963	90
89	88	131	40	63	1095	90
90	79	73	50	491	795	90
91	41	151	20	506	879	90
92	147	96	30	449	1070	90
93	13	114	50	388	836	90
94	100	70	50	174	985	90
95	196	133	10	662	751	90
96	140	186	20	76	1112	90
97	181	102	40	676	1090	90
98	112	117	30	51	989	90
99	68	76	20	142	993	90
100	38	41	20	322	777	90
101	146	92	10	412	841	90
102	194	122	40	485	879	90
103	111	97	10	194	814	90
104	62	155	20	456	785	90
105	133	179	30	679	783	90
106	192	199	50	661	784	90
107	39	31	50	361	1204	90
108	2	180	40	335	1106	90
109	88	114	30	504	913	90
110	74	186	40	454	1187	90
111	55	126	20	692	950	90
112	85	190	30	117	1043	90
113	53	129	40	577	1167	90
114	7	85	40	509	1142	90
115	75	176	50	511	779	90
116	51	4	30	54	948	90
117	31	165	30	504	809	90
118	72	47	50	69	1094	90
119	74	142	30	657	1025	90
120	121	99	30	646	1109	90
121	87	200	30	635	780	90
122	93	61	20	200	761	90
123	16	133	40	674	1074	90
124	112	91	50	384	1089	90
125	113	120	10	477	1228	90
126	158	185	10	347	1141	90
127	3	43	30	457	1201	90
128	166	162	10	518	937	90
129	142	51	10	484	742	90
130	91	32	20	627	1210	90
131	93	40	40	462	1221	90
132	122	108	30	357	1030	90
133	115	35	20	326	968	90
134	45	25	10	324	803	90
135	67	29	30	69	994	90
136	61	194	10	675	1068	90
137	104	87	30	566	965	90
138	168	6	40	687	1167	90
139	153	34	30	324	854	90
140	3	76	10	449	885	90
141	44	150	10	692	1230	90
142	76	166	20	597	996	90
143	14	158	20	612	718	90
144	179	15	20	196	1094	90
145	49	11	40	332	1042	90
